Country Name,Country Code,Time,Time Code,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]
Norway,NOR,1989,YR1989,..,..
Norway,NOR,1990,YR1990,18461.7126031265,6.90925063061818
Norway,NOR,1991,YR1991,19581.2119210049,6.41178281506205
Norway,NOR,1992,YR1992,20623.9419965407,7.04504781517175
Norway,NOR,1993,YR1993,21584.6363040248,7.52056300674097
Norway,NOR,1994,YR1994,23028.5277904107,7.93531726257335
Norway,NOR,1995,YR1995,24361.6674862618,7.88890764877096
Norway,NOR,1996,YR1996,26825.6974280094,7.89647267408845
Norway,NOR,1997,YR1997,28608.5877944855,8.29561806764208
Norway,NOR,1998,YR1998,28199.2826721059,8.5496576300744
Norway,NOR,1999,YR1999,30573.7342242442,8.89806681573576
Norway,NOR,2000,YR2000,36988.9288047687,7.63379022825151
Norway,NOR,2001,YR2001,37829.559042487,7.69541784648732
Norway,NOR,2002,YR2002,38056.2404278106,7.57597959877563
Norway,NOR,2003,YR2003,38684.5246087533,8.14632666316893
Norway,NOR,2004,YR2004,42671.9648895902,8.13491553623656
Norway,NOR,2005,YR2005,47966.8640112608,7.86591196617302
Norway,NOR,2006,YR2006,54366.0063902327,7.98394739648339
Norway,NOR,2007,YR2007,56175.656091892,8.01844832818131
Norway,NOR,2008,YR2008,62072.7539854909,7.73304542667147
Norway,NOR,2009,YR2009,55620.8379811715,7.75345298117972
Norway,NOR,2010,YR2010,58226.7139152967,8.20501786367322
Norway,NOR,2011,YR2011,62460.0908157002,7.88827091301427
Norway,NOR,2012,YR2012,65774.3520746224,7.72532351327758
Norway,NOR,2013,YR2013,67377.9262258772,7.80116949624017
Norway,NOR,2014,YR2014,66332.4614374198,7.71680157719176
Norway,NOR,2015,YR2015,60737.8868132779,7.76485866052295
Norway,NOR,2016,YR2016,59280.1992028829,7.56103855960786
Norway,NOR,2017,YR2017,64589.5559196863,7.42375166951931
Norway,NOR,2018,YR2018,70253.8463693384,7.26131587924207
Norway,NOR,2019,YR2019,69916.376832311,7.04232094266605
Norway,NOR,2020,YR2020,65130.1721871608,6.7250800496331
Norway,NOR,2021,YR2021,81866.7951850507,..
Norway,NOR,2022,YR2022,114929.521014913,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 12/19/2023,,,,,
